"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2149","验证ecshop登录接口登录成功","testcases","Mon Dec 16 09:04:43 CST 2024","passed","Mon Dec 16 09:04:45 CST 2024","TestAllCase","test_all_case","",""
"","2094","验证ecshop登录接口登录成功","testcases","Mon Dec 16 09:04:45 CST 2024","passed","Mon Dec 16 09:04:47 CST 2024","TestAllCase","test_all_case","",""
