"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","ecshop商城","1","0","登录接口","0"
"0","","0","ecshop商城","1","0","搜索商品","0"
"0","","0","ecshop商城","1","0","商品详情","0"
